iter	Logloss
0	0.5534147167
1	0.4992915601
2	0.4738772561
3	0.4580398901
4	0.4494386828
5	0.4442298997
6	0.4408971457
7	0.4385678705
8	0.4368698617
9	0.4358861931
10	0.4353638969
11	0.4350184002
12	0.4346572193
13	0.4344294802
14	0.4342879897
15	0.4341750223
16	0.4340410957
17	0.4339957035
18	0.4338865599
19	0.4338036505
20	0.4337573397
21	0.4336875714
22	0.4335859318
23	0.4335187396
24	0.4334932235
25	0.4334269139
26	0.4333747657
27	0.4333555598
28	0.4333386757
29	0.4333320753
30	0.4333163013
31	0.4332952612
32	0.4332698229
33	0.4332109187
34	0.4332002939
35	0.4331874162
36	0.4331786794
37	0.433169437
38	0.4331625105
39	0.4331507667
40	0.4331448305
41	0.4331342447
42	0.4330808607
43	0.4330752746
44	0.4330681565
45	0.4330012186
46	0.4329912522
47	0.4329819679
48	0.4329618913
49	0.4329437924
50	0.4329184289
51	0.4328828566
52	0.4328760976
53	0.4328625975
54	0.4328523438
55	0.4328344813
56	0.4327807473
57	0.4327738447
58	0.4327599556
59	0.432752655
60	0.4327422128
61	0.4327333893
62	0.4327220944
63	0.4327103566
64	0.4326989061
65	0.4326922458
66	0.4326829884
67	0.4326708647
68	0.4326317916
69	0.4326044893
70	0.4325921232
71	0.4325580439
72	0.4325477991
73	0.4325207631
74	0.4325095788
75	0.4324990858
76	0.4324856365
77	0.4324725643
78	0.4324624064
79	0.4324553631
80	0.4324445379
81	0.4324289015
82	0.4324180763
83	0.4324003096
84	0.4323868484
85	0.4323771362
86	0.4323646953
87	0.432354295
88	0.4323474492
89	0.4323384911
90	0.4323155002
91	0.4323059197
92	0.4322956092
93	0.4322856457
94	0.4322727111
95	0.4322625083
96	0.4322391344
97	0.4322220439
98	0.4322125412
99	0.432194197
100	0.4321843023
101	0.432174273
102	0.4321666822
103	0.432155118
104	0.4321452263
105	0.4321364626
106	0.4321289526
107	0.4321005223
108	0.4320902177
109	0.4320817562
110	0.4320733396
111	0.4320625713
112	0.4320552438
113	0.4320279235
114	0.4320151205
115	0.4320047352
116	0.4319990563
117	0.4319907563
118	0.4319821602
119	0.4319709042
120	0.4319522309
121	0.4319424738
122	0.4319330309
123	0.4319255209
124	0.4319188128
125	0.431911219
