iter	Passed	Remaining
0	191	191087
1	308	153959
2	402	133808
3	510	127199
4	596	118720
5	687	113923
6	771	109441
7	856	106261
8	944	103994
9	1036	102593
10	1162	104533
11	1307	107630
12	1383	105045
13	1455	102499
14	1540	101188
15	1620	99640
16	1690	97759
17	1780	97126
18	1869	96511
19	2006	98308
20	2160	100715
21	2293	101966
22	2493	105922
23	2605	105974
24	2691	104982
25	2767	103673
26	2837	102254
27	2919	101344
28	3001	100507
29	3078	99542
30	3156	98677
31	3232	97772
32	3319	97277
33	3395	96469
34	3471	95718
35	3567	95517
36	3631	94528
37	3713	94011
38	3791	93418
39	3851	92437
40	3932	91987
41	3998	91195
42	4070	90586
43	4144	90059
44	4217	89512
45	4291	89002
46	4361	88429
47	4433	87940
48	4537	88055
49	4611	87620
50	4689	87261
51	4761	86810
52	4840	86491
53	4916	86124
54	4986	85678
55	5057	85257
56	5142	85084
57	5223	84843
58	5304	84599
59	5388	84425
60	5465	84128
61	5539	83813
62	5633	83784
63	5704	83423
64	5774	83067
65	5864	82985
66	5926	82534
67	6003	82286
68	6140	82851
69	6257	83129
70	6345	83028
71	6426	82830
72	6544	83107
73	6625	82903
74	6701	82655
75	6781	82442
76	6855	82175
77	6928	81901
78	7017	81815
79	7107	81731
80	7219	81905
81	7290	81621
82	7358	81300
83	7428	81010
84	7495	80683
85	7572	80478
86	7648	80265
87	7720	80017
88	7798	79822
89	7874	79616
90	7945	79369
91	8025	79209
92	8111	79113
93	8200	79035
94	8279	78877
95	8357	78699
96	8435	78529
97	8516	78390
98	8597	78248
99	8667	78010
100	8739	77787
101	8821	77667
102	8897	77487
103	8987	77427
104	9151	78006
105	9346	78828
106	9589	80031
107	9770	80693
108	9856	80567
109	9941	80435
110	10015	80211
111	10096	80050
112	10250	80460
113	10592	82324
114	10672	82128
115	10754	81960
116	10826	81709
117	10901	81487
118	10979	81286
119	11040	80964
120	11113	80736
121	11196	80579
122	11295	80537
123	11473	81055
124	11568	80980
125	11627	80653
126	11704	80457
127	11833	80617
128	11992	80975
129	12155	81347
