iter	Logloss
0	0.5528989521
1	0.4992317731
2	0.4736007408
3	0.4578292446
4	0.4489514951
5	0.4438109125
6	0.4406730958
7	0.4385345033
8	0.4368815576
9	0.4360262504
10	0.4354404003
11	0.4349424353
12	0.4347056633
13	0.4344548737
14	0.4342847164
15	0.4341812009
16	0.4341076895
17	0.4339510981
18	0.4338635182
19	0.4338226469
20	0.4337812581
21	0.4337536356
22	0.4337247026
23	0.433690336
24	0.4336664625
25	0.4336451413
26	0.4336060802
27	0.4335974152
28	0.4335840109
29	0.4335566008
30	0.4335417484
31	0.4335230481
32	0.4334994978
33	0.4334930679
34	0.4334604158
35	0.4334502548
36	0.4334420177
37	0.4334333019
38	0.4334262647
39	0.4334127107
40	0.4334062569
41	0.4334003985
42	0.4333964041
43	0.4333923978
44	0.4333692394
45	0.433361505
46	0.4333547819
47	0.4333514368
48	0.4333460301
49	0.43333858
50	0.4333330118
51	0.4333314589
52	0.4333272491
53	0.4333206996
54	0.4333134289
55	0.4333121453
56	0.4333050542
57	0.4332951864
58	0.4332871977
59	0.433281459
60	0.4332737874
61	0.4332624476
62	0.4332546353
63	0.4332517989
64	0.4332462068
65	0.4332396123
66	0.4332331555
67	0.4332231292
68	0.4332165557
69	0.4332070021
70	0.433200653
71	0.4331921227
72	0.4331836163
73	0.4331729766
74	0.4331652901
75	0.4331575048
76	0.4331473588
77	0.4331387447
78	0.4331310462
79	0.4331239042
80	0.4331165587
81	0.4331102366
82	0.4331014011
83	0.433094289
84	0.4330857198
85	0.4330772972
86	0.4330716393
87	0.4330665618
88	0.4330573283
89	0.4330507638
90	0.4330422515
91	0.433035675
92	0.433029637
93	0.4330214718
94	0.4330129774
95	0.4330069574
96	0.4329997645
97	0.4329941425
98	0.4329865606
99	0.4329809236
100	0.4329738894
101	0.4329664482
102	0.4329564338
103	0.432948858
104	0.4329424969
105	0.4329345351
106	0.4329273183
107	0.432921047
108	0.4329131719
109	0.432905267
110	0.4328947679
111	0.4328880807
112	0.4328803193
113	0.4328721062
114	0.4328667086
115	0.4328605928
116	0.4328523557
117	0.4328446602
118	0.4328376828
119	0.4328314982
120	0.432823692
121	0.4328183213
122	0.4328119782
123	0.4328031906
124	0.4327952347
125	0.4327873417
126	0.4327811093
127	0.4327761545
128	0.4327685069
129	0.4327624929
130	0.4327549589
131	0.4327483854
132	0.4327405732
133	0.4327336197
134	0.4327262084
135	0.432721116
136	0.4327100364
