iter	Passed	Remaining
0	126	126607
1	236	118098
2	337	112025
3	461	115017
4	572	113967
5	677	112320
6	787	111742
7	890	110369
8	988	108892
9	1098	108722
10	1203	108209
11	1276	105092
12	1341	101813
13	1412	99451
14	1479	97174
15	1562	96106
16	1634	94490
17	1733	94593
18	1823	94134
19	1911	93684
20	1990	92799
21	2074	92233
22	2156	91617
23	2237	91006
24	2324	90649
25	2395	89729
26	2470	89032
27	2539	88141
28	2614	87554
29	2693	87090
30	2776	86795
31	2852	86298
32	2931	85892
33	3021	85853
34	3102	85532
35	3188	85393
36	3268	85074
37	3348	84763
38	3418	84223
39	3493	83845
40	3578	83709
41	3657	83424
42	3734	83117
43	3817	82947
44	3910	82987
45	4004	83049
46	4093	83010
47	4188	83067
48	4280	83069
49	4365	82935
50	4448	82775
51	4547	82905
52	4634	82807
53	4718	82660
54	4800	82483
55	4881	82282
56	4962	82101
57	5027	81650
58	5086	81132
59	5161	80863
60	5236	80605
61	5299	80182
62	5372	79908
63	5448	79689
64	5544	79757
65	5630	79678
66	5692	79272
67	5770	79093
68	5843	78851
69	5919	78647
70	6006	78597
71	6096	78581
72	6170	78355
73	6246	78171
74	6317	77913
75	6390	77694
76	6462	77460
77	6544	77365
78	6646	77482
79	6729	77392
80	6811	77278
81	6893	77175
82	6977	77085
83	7064	77037
84	7163	77109
85	7273	77305
86	7353	77171
87	7432	77031
88	7529	77069
89	7623	77081
90	7710	77023
91	7797	76960
92	7886	76913
93	7963	76755
94	8047	76659
95	8119	76460
96	8182	76170
97	8255	75983
98	8344	75943
99	8417	75755
100	8491	75582
101	8572	75470
102	8642	75269
103	8721	75140
104	8787	74902
105	8861	74734
106	8937	74588
107	9013	74442
108	9091	74318
109	9170	74199
110	9247	74065
111	9327	73953
112	9387	73689
113	9476	73650
114	9551	73505
115	9628	73377
116	9707	73260
117	9789	73169
118	9852	72940
119	9932	72839
120	10007	72701
121	10088	72605
122	10168	72502
123	10239	72336
124	10321	72248
125	10391	72080
126	10473	71992
127	10544	71836
128	10616	71683
129	10690	71543
130	10771	71454
131	10851	71359
132	10941	71324
133	11018	71206
134	11111	71194
135	11194	71118
136	11277	71039
137	11352	70914
138	11442	70875
139	11528	70816
140	11604	70693
141	11687	70619
142	11767	70520
143	11856	70482
144	11945	70437
145	12036	70406
146	12127	70371
147	12219	70342
148	12304	70276
149	12411	70334
150	12502	70296
151	12672	70699
152	12753	70603
153	12833	70498
154	12912	70394
155	13006	70368
156	13100	70340
157	13190	70294
158	13281	70250
159	13363	70157
160	13450	70092
161	13538	70032
162	13618	69931
163	13707	69876
164	13800	69839
165	13889	69783
166	13983	69749
167	14062	69640
168	14144	69548
169	14225	69454
170	14301	69334
171	14382	69238
172	14466	69153
173	14568	69156
174	14671	69163
175	14759	69101
176	14852	69061
177	14943	69009
178	15022	68900
179	15101	68794
180	15185	68711
181	15259	68584
182	15353	68544
183	15453	68534
184	15541	68466
185	15619	68357
186	15701	68263
187	15787	68186
188	15869	68096
189	15951	68005
190	16022	67865
191	16101	67762
192	16188	67689
193	16276	67624
194	16353	67511
195	16433	67409
196	16509	67294
197	16595	67222
198	16680	67139
199	16769	67078
200	16851	66987
201	16941	66927
202	17027	66850
203	17118	66797
204	17220	66781
205	17311	66724
206	17391	66623
207	17466	66508
208	17546	66408
209	17632	66331
210	17716	66248
211	17792	66133
212	17868	66021
213	17951	65933
214	18042	65874
215	18132	65814
216	18215	65725
217	18301	65649
218	18379	65545
219	18466	65471
220	18550	65389
221	18632	65299
222	18717	65219
223	18804	65143
224	18893	65076
225	18963	64944
226	19043	64848
227	19126	64760
228	19213	64689
229	19295	64597
230	19381	64521
231	19461	64422
232	19547	64346
233	19638	64286
234	19725	64212
235	19811	64134
236	19891	64039
237	19980	63971
238	20056	63862
239	20144	63789
240	20223	63690
241	20307	63606
242	20388	63515
243	20469	63422
244	20555	63343
245	20645	63280
246	20717	63159
247	20799	63070
248	20874	62958
249	20953	62860
250	21040	62786
251	21117	62681
252	21201	62598
253	21283	62509
254	21357	62396
255	21434	62294
256	21519	62214
257	21604	62132
258	21674	62009
259	21754	61917
260	21838	61835
261	21918	61740
262	21995	61638
263	22076	61547
264	22170	61491
265	22270	61452
266	22352	61365
267	22439	61289
268	22519	61195
269	22600	61106
270	22683	61018
271	22773	60951
272	22854	60861
273	22936	60773
274	23015	60675
275	23096	60585
276	23179	60501
277	23265	60422
278	23345	60331
279	23427	60243
280	23507	60149
281	23598	60084
282	23688	60017
283	23771	59931
284	23855	59849
285	23923	59725
286	24003	59631
287	24096	59570
288	24180	59489
289	24269	59419
290	24347	59320
291	24425	59222
292	24511	59144
293	24590	59050
294	24673	58965
295	24752	58871
296	24829	58770
297	24911	58684
298	24995	58601
299	25075	58509
300	25158	58424
301	25241	58340
302	25326	58258
303	25402	58159
304	25504	58116
305	25595	58049
306	25673	57953
307	25756	57867
308	25836	57776
309	25924	57702
310	26009	57621
311	26094	57542
312	26172	57444
313	26256	57362
314	26326	57249
315	26409	57165
316	26488	57070
317	26567	56977
318	26645	56883
319	26731	56803
320	26809	56709
321	26888	56616
322	26971	56530
323	27053	56445
324	27131	56349
325	27224	56285
326	27299	56184
327	27384	56105
328	27471	56029
329	27552	55940
330	27634	55853
331	27717	55769
332	27794	55672
333	27879	55592
334	27960	55502
335	28037	55406
336	28105	55292
337	28187	55206
338	28264	55112
339	28346	55024
340	28424	54931
341	28504	54841
342	28589	54761
343	28670	54674
344	28750	54583
345	28833	54500
346	28909	54403
347	28992	54319
348	29078	54241
349	29160	54155
350	29236	54058
351	29314	53966
352	29393	53874
353	29476	53791
354	29562	53712
355	29645	53627
356	29724	53536
357	29798	53436
358	29876	53345
359	29954	53252
360	30032	53159
361	30110	53067
362	30188	52975
363	30269	52887
364	30345	52793
365	30430	52712
366	30510	52624
367	30601	52555
368	30687	52476
369	30766	52385
370	30843	52293
371	30924	52206
372	30998	52107
373	31078	52019
374	31162	51938
375	31238	51843
376	31319	51755
377	31404	51676
378	31486	51591
379	31567	51505
380	31653	51427
381	31729	51331
382	31811	51246
383	31898	51170
384	31981	51086
385	32064	51003
386	32153	50931
387	32235	50845
388	32312	50752
389	32390	50661
390	32477	50585
391	32560	50501
392	32639	50412
393	32722	50329
394	32809	50252
395	32897	50176
396	32964	50069
397	33050	49991
398	33136	49912
399	33227	49840
400	33312	49760
401	33379	49653
402	33462	49571
403	33546	49489
404	33648	49434
405	33737	49360
406	33824	49282
407	33908	49200
408	33989	49114
409	34065	49020
410	34156	48949
411	34237	48863
412	34316	48774
413	34409	48704
414	34501	48633
415	34579	48543
416	34656	48452
417	34786	48434
418	34871	48353
419	34950	48264
420	35034	48183
421	35116	48098
422	35194	48007
423	35273	47918
424	35357	47836
425	35440	47753
426	35524	47670
427	35614	47596
428	35700	47517
429	35777	47425
430	35861	47343
431	35952	47270
432	36032	47182
433	36117	47102
434	36199	47017
435	36280	46931
436	36365	46851
437	36449	46768
438	36531	46683
439	36616	46603
440	36695	46514
441	36770	46420
442	36856	46340
443	36943	46262
444	37026	46179
445	37109	46096
446	37204	46026
447	37286	45942
448	37364	45852
449	37445	45767
450	37530	45686
451	37611	45599
452	37689	45509
453	37765	45418
454	37844	45330
455	37923	45242
456	37996	45147
457	38079	45062
458	38156	44972
459	38244	44896
460	38312	44795
461	38406	44724
462	38485	44636
463	38568	44553
464	38644	44462
465	38724	44374
466	38807	44291
467	38892	44211
468	38976	44129
469	39066	44053
470	39148	43969
471	39234	43888
472	39315	43803
473	39395	43717
474	39478	43634
475	39560	43549
476	39644	43467
477	39727	43384
478	39814	43305
479	39897	43222
480	39978	43137
481	40057	43049
482	40133	42958
483	40214	42873
484	40296	42789
485	40373	42699
486	40451	42611
487	40536	42530
488	40622	42449
489	40691	42352
490	40772	42267
491	40851	42179
492	40934	42096
